Machine Error Code;Error Text;MES error Code
IHP2004;Input Pre-Heater 2 Vacuum Power move to ON position failed;604
IHP2005;Input Pre-Heater 2 Temperature OUT of Tolerance;605
IHP2006;Input Pre-Heater 2 Temperature Controller Error;606
IHP2007;Input Pre-Heater 2 Dust cover move to BWD position failed;607
IHP2008;Input Pre-Heater 2 Dust cover move to FWD position failed;608
IHP2009;Input Pre-Heater 2 detected Unknown Lead frame Present;609
IHP2010;Input Pre-Heater 2 detected Lead Frame missing;610
IHP2011;Input Pre-Heater 2 detected Lead frame Abnormal Condition.;611
IHP2012;Input Pre-Heater 2 detected Gripper Close failed.;612
IHP2013;Input Pre-Heater 2 detected Gripper Open failed.;613
IHP2014;Input Pre-Heater 2 detected Mis-alignment;614
IHP2015;Input Pre-Heater 2 detected LF Overheated;615
IHP2016;Input Pre-Heater 2 IR Heater Z move to HOME position failed ;616
IHP2017;Input Pre-Heater 2 IR Heater Z move to UP position failed ;617
IHP2018;Input Pre-Heater 2 IR Heater Z move to DOWN position failed ;618
IHP2019;Input Pre-Heater 2 Brake move to OFF position failed;619
IHP2020;Input Pre-Heater 2 Brake move to ON position failed;620
IHP2021;Input Pre-Heater 2 detected Side PRP Lock failed.;621
IHP2022;Input Pre-Heater 2 detected Side PRP Unlock failed.;622
IHP2023;Input Pre-Heater 2 detected Middle PRP Lock failed.;623
IHP2024;Input Pre-Heater 2 detected Middle PRP Unlock failed.;624
IHP2025;Input Pre-Heater 2 detected TC PRP Lock failed.;625
IHP2026;Input Pre-Heater 2 detected TC PRP Unlock failed.;626
IHP2027;Input Pre-Heater 2 detected IR Heater Z Clear Limit failed;627
IHP2028;Input Pre-Heater 2 detected Carrier Shuttle not safe.;628
IHP2029;Input Pre-Heater 2 detected Onloader not safe.;629
IHP2030;Input Pre-Heater 2 detected Heater Z not at down position.;630
IHP2031;Input Pre-Heater 2 detected IR Heater on/off error.;631
IHP2032;Input Pre-Heater 2 detected Thermoswitch trigger.;632
IHP2033;Input Pre-Heater 2 detected Heater not ON.;633
IHP2034;Input Pre-Heater 2 detected IR Heater temperature out of tolerance.;634
IHP2035;Input Pre-Heater 2 detected IR Heater temperature overtime.;635
IHP2036;Input Pre-Heater 2 detected PRP temperature out of tolerance.;636
IHP2037;Input Pre-Heater 2 detected IR Heater move to Down pos not safe.;637
IHP2038;Input Pre-Heater 2 detected Heater Z move to PRP position failed.;638
IHP2039;Input Pre-Heater 2 detected abnormal IR heater temperature;639
IHP2050;Input Pre-Heater 2 detected Heater Z Channel control error;640
IHP2051;Input Pre-Heater 2 detected Y Channel search timeout error;641
IHP2052;Input Pre-Heater 2 detected Y Channel hit limit sensor error;642
IHP2053;Input Pre-Heater 2 detected Y Channel encoder fault error;643
IHP2054;Input Pre-Heater 2 detected Y Channel driver fault error;644
IHP2055;Input Pre-Heater 2 detected Y Channel exceed software position limit error;645
IHP2056;Input Pre-Heater 2 detected Y Channel open wire fault error;646
IHP2057;Input Pre-Heater 2 detected Y Channel velocity jump error;647
IHP2058;Input Pre-Heater 2 detected Y Channel RTC overload error;648
ILB001;Input Loading Bridge Conveyor Move To Home Position Failed;801
ILB002;Input Loading Bridge Conveyor Search Front Sensor Failed;802
ILB003;Input Loading Bridge Conveyor Search Back Sensor Failed;803
ILB004;Input Loading Bridge Conveyor Search Lifter Sensor Failed;804
ILB005;Input Loading Bridge Door Button Move To Off Position Failed;805
ILB006;Input Loading Bridge Door Button Move To On Position Failed;806
ILB007;Input Loading Bridge detected Lifter Not Up;807
ILB008;Input Loading Bridge detected Lifter Not Empty;808
ILB011;Input Loading Bridge HandShake Ready Off Failed;811
ILB012;Input Loading Bridge HandShake Ready On Failed;812
ILB013;Input Loading Bridge HandShake Acknowledgement Off Failed;813
ILB014;Input Loading Bridge HandShake Acknowledgement On Failed;814
ILB015;Input Loading Bridge HandShake Material Send Off Failed;815
ILB016;Input Loading Bridge HandShake Material Send On Failed;816
ILB017;Input Loading Bridge HandShake Start Lot Off Failed;817
ILB018;Input Loading Bridge HandShake Start Lot On Failed;818
ILB019;Input Loading Bridge HandShake End Lot Off Failed;819
ILB020;Input Loading Bridge HandShake End Lot On Failed;820
ILB023;Input Loading Bridge move Mag to lifter failed;823
ILB051;Input Loading Bridge Request Unlock Time Out ;851
ILB052;Input Loading Bridge Mag Door Close Error.;852
ILP001;Input Load Platform Conveyor Move To Srch Sensor 1 Position Failed;901
ILP002;Input Load Platform Conveyor Move To Srch Sensor 2 Position Failed;902
ILP003;Input Load Platform Conveyor Move To Srch End Sensor Position Failed;903
ILP004;Input Load Platform Roller Failed to Load Magazine;904
ILP005;Input Load Platform Lifter Move To Down Position Failed;905
ILP006;Input Load Platform Lifter Move To Up Position Failed;906
ILP007;Input Load Platform Lifter Not At Down Position;907
ILP008;Input Load Platform Lifter Not At Up Position;908
ILP009;Input Loading Platform Open Door Button Light On Fail;909
ILP010;Input Loading Platform Detected Magazine On Platform;910
ILP011;Input Loading Platform Detected Platform Is Empty;911
ILP012;Input Loading Platform PIO Load Request On Failed;912
ILP013;Input Loading Platform PIO Load Request Off Failed;913
ILP014;Input Loading Platform PIO Abort On Failed;914
ILP015;Input Loading Platform PIO Abort Off Failed;915
ILP016;Input Loading Platform PIO Ready On Failed;916
ILP017;Input Loading Platform PIO Ready Off Failed;917
ILP018;Input Loading Platform AGV Top Door Open Failed;918
ILP019;Input Loading Platform AGV Top Door Close Failed;919
ILP020;Input Loading Platform AGV Bottom Door Open Failed;920
ILP021;Input Loading Platform AGV Bottom Door Close Failed;921
ILP022;Input Loading Platform detected Top AGV door Not Open;922
ILP023;Input Loading Platform detected Bottom AGV door Not Open;923
ILP024;Input Loading Platform detected AGV Not Send TR Request please resend;924
ILP025;Input Loading Platform detected AGV Not Send Busy please resend;925
ILP026;Input Loading Platform detected AGV Place Mag to Platform Timeout please retry;926
ILP027;Input Loading Platform detected AGV Move Away from Platform Timeout please retry;927
ILP028;Input Loading Platform detected AGV Not Send Complete please resend;928
IME001;Input Mag Z COMMUTATE failed;1101
IME002;Input Mag Z move to HOME position failed;1102
IME003;Input Mag Z move to LOAD position failed;1103
IME004;Input Mag Z move to POST LOAD position failed;1104
IME005;Input Mag Z move to PRE UNLOAD position failed;1105
IME006;Input Mag Z move to UNLOAD position failed;1106
IME007;Input Mag Z move to FIRST SLOT position failed;1107
IME008;Input Mag Z move to SLOT position failed;1108
IME009;Input Mag Z Brake move to OFF position failed;1109
IME010;Input Mag Z Brake move to ON position failed;1110
IME011;Input Mag Y move to HOME position failed;1111
IME012;Input Mag Y move to LOAD position failed;1112
IME013;Input Mag Y move to TRACK position failed;1113
IME014;Input Mag Y move to UNLOAD position failed;1114
IME015;Input Mag Clamp Z move to HOME position failed;1115
IME016;Input Mag Clamp Z move to STANDBY position failed;1116
IME017;Input Mag Clamp Z move to CLAMP position failed;1117
IME018;Input Mag Ejector move to BACKWARD position failed;1118
IME019;Input Mag Ejector move to FORWARD position failed;1119
IME020;Input Mag Ejector not at BACKWARD position;1120
IME021;Input Mag Ejector Jammed;1121
IME022;Input Mag detected Indexer at UNKNOWN position;1122
IME023;Input Mag detected LF in between track;1123
IME024;Input Mag Y not at TRACK position;1124
IME025;Input Mag detected Magazine not present;1125
IME026;Input Mag detected Magazine not clamp;1126
IME027;Input Mag Z not at LOAD position;1127
IME028;Input Mag Z not at POST LOAD position;1128
IME029;Input Mag Z not at PRE UNLOAD position;1129
IME030;Input Mag Z not at UNLOAD position;1130
IME031;Input Mag detected Magazine present;1131
IME032;Input Mag detected Clamp Sensor is triggered;1132
IME033;Input Mag detected Clamp Sensor is not triggered;1133
IME034;Input Mag Z not at SLOT position;1134
IME035;Input Mag detected no LF out from Magazine;1135
IME036;Input Mag detected Unload Platform full;1136
IME037;Input Mag Z clear limit failed;1137
IME038;Input Mag detected Reject LF in Magazine;1138
IME039;Input Mag waiting Lot Information;1139
IME040;Input Mag update Lot Start Info failed;1140
IME041;Input Mag update Magazine Processed Info failed;1141
IME042;Input Mag update Input Lot End Info failed;1142
IME043;Input Mag is waiting due to Max Lot already in system;1143
IME044;Input Mag request to scan for new Package Tag;1144
IME045;Input Mag scan Input Magazine ID failed;1145
IME046;Input Mag detected scanner COMM error;1146
IME047;Input Mag is waiting Lot Start verification from Host;1147
IME048;Input Mag is waiting Input Lot End verification from Host;1148
IME049;Input Mag detected Y is not at UNLOAD position;1149
IME050;Input Mag Clamp Z move to CLAMP SEARCH position failed;1150
IME051;Input Magazine Elevator Y Move Clear Platform Error! ;1151
IME052;Elevator Y Not at Home Pos!;1152
IME053;Elevator Y Not at Load Pos!;1153
IME054;Input Mag Z move to Post Unload Pos failed;1154
IME055;Input Mag detected Mag Present Sensor is Off;1155
IME056;Input Mag AGV Conveyor detected No Mag at Unload Position;1156
IME057;Input Mag detected barcode reader is not connected;1157
IME058;Input Mag detected read barcode failed;1158
IME059;Input Mag Z move to SCANID position failed;1159
IME090;Input Mag detected Z Channel control error;1190
IME091;Input Mag detected Z Channel search time out error;1191
IME092;Input Mag detected Z Channel hit limit sensor error;1192
IME093;Input Mag detected Z Channel encoder fault error;1193
IME094;Input Mag detected Z Channel driver fault error;1194
IME095;Input Mag detected Z Channel exceed software position limit error;1195
IME096;Input Mag detected Z Channel open wire fault error;1196
IME097;Input Mag detected Z Channel velocity jump error;1197
IME098;Input Mag detected Z Channel RTC overload error;1198
IME100;Input Mag detected Y Channel control error;1199
IME101;Input Mag detected Y Channel search time out error;1200
IME102;Input Mag detected Y Channel hit limit sensor error;1201
IME103;Input Mag detected Y Channel encoder fault error;1202
IME104;Input Mag detected Y Channel driver fault error;1203
IME105;Input Mag detected Y Channel exceed software position limit error;1204
IME106;Input Mag detected Y Channel open wire fault error;1205
IME107;Input Mag detected Y Channel velocity jump error;1206
IME108;Input Mag detected Y Channel RTC overload error;1207
IME110;Input Mag detected Clamp Z Channel control error;1210
IME111;Input Mag detected Clamp Z Channel search time out error;1211
IME112;Input Mag detected Clamp Z Channel hit limit sensor error;1212
IME113;Input Mag detected Clamp Z Channel encoder fault error;1213
IME114;Input Mag detected Clamp Z Channel driver fault error;1214
IME115;Input Mag detected Clamp Z Channel exceed software position limit error;1215
IME116;Input Mag detected Clamp Z Channel open wire fault error;1216
IME117;Input Mag detected Clamp Z Channel velocity jump error;1217
IME118;Input Mag detected Clamp Z Channel RTC overload error;1218
IME121;Input Mag PIO Unload Request On Failed;1221
IME122;Input Mag PIO Unload Request Off Failed;1222
IME123;Input Mag PIO Abort On Failed;1223
IME124;Input Mag PIO Abort Off Failed;1224
IME125;Input Mag PIO Ready On Failed;1225
IME126;Input Mag PIO Ready Off Failed;1226
IME127;Input Mag AGV Top Door Open Failed;1227
IME128;Input Mag AGV Top Door Close Failed;1228
IME129;Input Mag AGV Bottom Door Open Failed;1229
IME130;Input Mag AGV Bottom Door Close Failed;1230
IME131;Input Mag detected Top AGV door not Close;1231
IME132;Input Mag detected Bottom AGV door not Close;1232
IME133;Input Mag detected AGV Not Send TR Request please resend;1233
IME134;Input Mag detected AGV Not Send Busy please resend;1234
IME135;Input Mag detected AGV Move Mag from Platform Timeout please retry;1235
IME136;Input Mag detected AGV Move Away from Platform Timeout please retry;1236
IME137;Input Mag detected AGV Not Send Complete please resend;1237
ITA001;Input Pick Arm Y move to HOME position failed;1301
ITA002;Input Pick Arm Y move to PICK LF BWD position failed;1302
ITA003;Input Pick Arm Y move to PICK LF FWD position failed;1303
ITA004;Input Pick Arm Y move to STANDBY position failed;1304
ITA005;Input Pick Arm Y move to PLACE LF position failed;1305
ITA006;Input Pick Arm Y move to SRCH INDEX position failed;1306
ITA007;Input Pick Arm Z move to Prp Load position failed;1307
ITA008;Input Pick Arm Z move to HOME position failed;1308
ITA009;Input Pick Arm Z move to PICK position failed;1309
ITA010;Input Pick Arm Z move to UP position failed;1310
ITA011;Input Pick Arm Z move to PLACE position failed;1311
ITA012;Input Pick Arm Z move to SRCH INDEX position failed;1312
ITA013;Input Pick Arm Theta move to HOME position failed;1313
ITA014;Input Pick Arm Theta move to PICKLF position failed;1314
ITA015;Input Pick Arm Theta move to PLACELF position failed;1315
