Machine Error Code;Error Text;MES error Code
MP1073;Press 1 Platen STOP motion failed;2473
MP1074;Press 1 Platen move to JOG UP position failed;2474
MP1075;Press 1 Platen move to JOG DOWN position failed;2475
MP1076;Press 1 Platen move to RELATIVE UP position failed;2476
MP1077;Press 1 Platen move to RELATIVE DOWN position failed;2477
MP1078;Press 1 Platen move UP to SHEET CLAMP position failed;2478
MP1079;Press 1 Platen Soft Clamp Error;2479
MP1080;Press 1 Platen move UP to HIGH CLAMP ONLY position failed;2480
MP1081;Press 1 Platen move UP to FULL CLAMP position failed;2481
MP1082;Press 1 Platen move DOWN to GAP position failed;2482
MP1083;Press 1 Platen move UP to PAPER HIGH CLAMP position failed;2483
MP1084;Press 1 Platen move UP to CFS KISS position failed;2484
MP1085;Press 1 Platen move UP to CFS HIGH CLAMP position failed;2485
MP1086;Press 1 Platen move DOWN to EJECT LF PP4 position failed;2486
MP1087;Press 1 Platen move DOWN to EJECT LF PP5 position failed;2487
MP1088;Press 1 Platen move DOWN to SMOOTH PP8 position failed;2488
MP1089;Press 1 Platen move DOWN to FAST PP8 position failed;2489
MP1090;Press 1 Platen move UP to PP9 position failed;2490
MP1091;Press 1 Platen move UP to PP10 W/O INTERLOCK position failed;2491
MP1092;Press 1 Platen move UP to KISS position failed;2492
MP1093;Press 1 Platen move DOWN to FAST EJECT position failed;2493
MP1094;Press 1 Platen NOT at KISS position;2494
MP1095;Press 1 Platen NOT at EJECT position;2495
MP1096;Press 1 Platen NOT at STANDBY position;2496
MP1097;Press 1 Platen is not at Standy!;2497
MP1098;Press 1 Platen has NOT DONE CFS;2498
MP1099;Press 1 Platen move UP to Gap position failed;2499
MP1100;Press 1 Transfer ABORT motion failed;2500
MP1101;Press 1 Transfer CALIBRATED ENCODER failed;2501
MP1102;Press 1 Transfer move to STANDBY position failed;2502
MP1103;Press 1 Transfer move UP to FILL CURE position failed;2503
MP1104;Press 1 Transfer move DOWN to PD position failed;2504
MP1105;Press 1 Transfer move UP to EJECT position failed;2505
MP1106;Press 1 Transfer move to PC1 position failed;2506
MP1107;Press 1 Transfer move to PC2 position failed;2507
MP1108;Press 1 Transfer move DOWN to STANDBY position failed;2508
MP1109;Press 1 Transfer STOP motion failed;2509
MP1110;Press 1 Transfer move to JOG UP position failed;2510
MP1111;Press 1 Transfer move to JOG DOWN position failed;2511
MP1112;Press 1 Transfer move UP to SHORT SHOT position failed;2512
MP1113;Press 1 Transfer move UP to FILL CURE CLEANING position failed;2513
MP1114;Press 1 Transfer move to RELATIVE UP position failed;2514
MP1115;Press 1 Transfer move to RELATIVE DOWN position failed;2515
MP1116;Press 1 Transfer move to PLUNGER BLK CHANGE PM1 position failed;2516
MP1117;Press 1 Transfer move to MOLD FLUSH PM2 position failed;2517
MP1118;Press 1 Transfer move to PLUNGER CHANGE PM3 position failed;2518
MP1119;Press 1 Transfer move to STANDBY CLEANING position failed;2519
MP1120;Press 1 Transfer NOT at STANDBY position;2520
MP1121;Press 1 Servo Power Not On;2521
MP1122;Press 1 Error;2522
MP1123;Press 1 Detected NL Y Not Home;2523
MP1124;Press 1 Detected FL Y Not Home;2524
MP1125;Press 1 Detected PGS Grippers Abnormal;2525
MP1126;Press 1 Detected Top Ejector Not Up;2526
MP1127;Press 1 Detected Middle Plate Not Up;2527
MP1128;Press 1 Detected Temperature Not Ready;2528
MP1129;Press 1 Detected PGS Grippers Jammed;2529
MP1130;Press 1 Detected Misalign Sensor On;2530
MP1131;Press 1 Film Out Air Jet Off Fail;2531
MP1132;Press 1 Film Out Air Jet On Fail;2532
MP1133;Press 1 Ionizer Off Fail;2533
MP1134;Press 1 Ionizer On Fail;2534
MP1135;Press 1 Top Wedged Fail To Move To Film Suction Position;2535
MP1140;Press 1 Wedge In Error;2540
MP1141;Press 1 Wedge Move To FL Pick Mat Error;2541
MP1142;Press 1 Wedge 2 In Error;2542
MP1143;Press 1 Wedge 2 Move To FL Pick Mat Error;2543
MP1144;Press 1 Wedge Move Error - Detect MidPlate Down;2544
MP1145;Press 1 Wedge 2 Move Error - Detect MidPlate Down;2545
MP1150;Press 1 Clamp Force Setting is required;2550
MP1151;Press 1 detected Temperature Out of Tolerance;2551
MP1152;Press 1 detected Temperature Controller failed;2552
MP1153;Press 1 Detected Safety Screen Triggered;2553
MP1154;Press 1 Top Wedge Force Not Enough;2554
MP1155;Press 1 ThermoSwitch Triggered!;2555
MP1156;Press 1 Bottom Mold Temperature Over Heat;2556
MP1157;Press 1 Top Wedge Relative move Fail;2557
MP1158;Press 1 Mid plate position Unknown;2558
MP1159;Press 1 Mid plate NOT at Down position;2559
MP1160;Press 1 PL Not at safe position to Open/Close;2560
MP1161;Press 1 PL Wrong Mold Open Sequence;2561
MP1162;Press 1 Move To PP12 Position Fail;2562
MP1163;Press 1 Move To Mid-Clamp Position Fail;2563
MP1164;Press 1 Detected  Unknown LF Status;2564
MP1165;Press 1 Detected LF UnMolded;2565
MP1166;Press 1 HMI Message Reply Unknown;2566
MP1167;Press 1 wait Pellet Cure;2567
MP1168;Press 1 Filling Error;2568
MP1169;Press 1 Curing Error;2569
MP1170;Press 1 Goes Offline after Mold Fail;2570
MP1171;Press 1 Detected Filling out of Range;2571
MP1172;Press 1 Detected Filling Pressure out of Range;2572
MP1173;Press 1 Detected OnLine Init Fail;2573
MP1174;Press 1 Detected OnLine Pre-Start Fail;2574
MP1175;Press 1 Detected Press Door Close Fail;2575
MP1176;Detected PGS Top Gripper not Open;2576
MP1177;Ejector Not Safe to Move Down! Mid Plate not at Down;2577
MP1178;Detected Gripper Air Pressure Low;2578
MP1179;Press 1 is required to do Full Clean (Auto);2579
MP1180;Press 1 is required to do  Fast Clean (Auto);2580
MP1181;Press 1 is required to do  Partial Clean (Auto);2581
MP1182;Press 1 is required to do Full Clean (Idle);2582
MP1183;Press 1 is required to do Fast Clean (Idle);2583
MP1184;Press 1 is required to do  Partial Clean (Idle);2584
MP1185;Detected Loader Present at Mold;2585
MP1186;Press 1 Mold Ext Count off fail;2586
MP1187;Press 1  Mold Ext Count on fail;2587
MP1188;Press 1Update LF Processed Failed;2588
MP1189;Press 1 Detected LF Stick on Top Mold;2589
MP1191;Please Verify Units Status on Press 1;2591
MP1192;Press 1 Compound Expiry (To Mold Clamp);2592
MP1193;Press 1 Top Surface Thermocouple Out Of Tolerance;2593
MP1194;Press 1 Mid Plate Surface Thermocouple Out Of Tolerance;2594
MP1195;Press 1 Btm Surface Thermocouple Out Of Tolerance;2595
MP1196;Press 1 Voltage Dip;2596
MP1197;Press 1 Btm Retract Pin Error;2597
MP1198;Press 1 Top Retract Pin Error;2598
MP1199;Press 1 Heaters not Turn on!;2599
MP1200;Press 1 Bottom FAM Roller Not at DOWN Position;2600
MP1201;Press 1 Substrate Vacuum Choke!;2601
MP1202;Press 1 Avoid Void Vacuum Choke!;2602
MP1203;Press 1 Ebara Pump Off fail!;2603
MP1204;Press 1 Ebara Pump On fail!;2604
MP1205;Press 1 Reset Ebara Pump Off fail!;2605
MP1206;Press 1 Reset Ebara Pump On fail!;2606
MP1207;Press 1 Ebara Pump Error!;2607
MP1208;Press 1 Avoid Void Vacuum Upper Limit!;2608
MP1209;Press 1 Substrate Vacuum Buffer Off failed;2609
MP1210;Press 1 Substrate Vacuum Buffer On failed;2610
MP1211;Press 1 Inner Substrate Vacuum Off failed;2611
MP1212;Press 1 Inner Substrate Vacuum On failed;2612
MP1213;Press 1 Ebara Valve Turn Off Fail!;2613
MP1214;Press 1 Ebara Valve Turn On Fail!;2614
MP1215;Press 1 Receive Offline command from Linescanner/Vision;2615
MP1216;Press 1 Wedge Search Force Fail!;2616
MP1217;Press 1 Wedge 1 Search Force Fail!;2617
MP1218;Press 1 Wedge 2 Search Force Fail!;2618
MP1219;Press 1 Load Cell 1 Off Fail;2619
MP1220;Press 1 Load Cell 1 On Fail;2620
MP1221;Press 1 Load Cell 2 Off Fail;2621
MP1222;Press 1 Load Cell 2 On Fail;2622
MP1223;Press 1 Top Mold Temperature SPC out of Control Limit!;2623
MP1224;Press 1 Top Mold Temperature SPC out of Spec Limit!;2624
MP1225;Press 1 Bottom Mold Temperature SPC out of Control Limit!;2625
MP1226;Press 1 Bottom Mold Temperature SPC out of Spec Limit!;2626
MP1227;Press 1 Clamp Force SPC out of Control Limit!;2627
MP1228;Press 1 Clamp Force SPC out of Spec Limit!;2628
MP1229;Press 1 Packing Pressure SPC out of Control Limit!;2629
MP1230;Press 1 Packing Pressure SPC out of Spec Limit!;2630
MP1231;Press 1 Transfer Time SPC out of Control Limit!;2631
MP1232;Press 1 - DMC Wedge move to Home Position Failed;2632
MP1233;Press 1 - DMC Wedge move to Standby Position Failed;2633
MP1234;Press 1 - DMC Wedge move to HighClamp Position Failed;2634
MP1235;Press 1 - DMC Wedge move to Filling Position Failed;2635
MP1236;Press 1 - DMC Wedge move to FVP Position Failed;2636
MP1237;Press 1 - DMC Left Chuck is not Locked;2637
MP1238;Press 1 - DMC Right Chuck is not Locked;2638
MP1239;Press 1 - DMC Wedge Failed to Clear Limit;2639
MP1240;Press 1 Detected Platen Pulse below safe zone! Please Send middle plate to Top;2640
MP1241;Press 1 Detected Middle Plate Pos Status Not Match with Sensor!;2641
MP1242;Press 1 - DMC Brake Z turn OFF failed;2642
MP1243;Press 1 - DMC Brake Z turn ON failed;2643
MP1244;Press 1 - DMC Wedge failed to Stop;2644
MP1245;Press 1 - DMC Wedge failed to Move;2645
MP1246;Press 1 - DMC Wedge hits DAC Limit;2646
MP1247;Press 1 - DMC Wedge not complete Stop;2647
MP1248;Press 1 - DMC Wedge failed to move Position;2648
MP1249;Press 1 - DMC Wedge Failed to move Relative;2649
MP1250;Press 1 - DMC Wedge Failed at DAC Computation;2650
MP1251;Press 1 - DMC Wedge Failed to stop Position Move;2651
MP1252;Press 1 - DMC Wedge Failed to stop Relative Move;2652
MP1253;Press 1 - DMC Wedge Failed to stop at Move Home;2653
MP1254;Press 1 - DMC Wedge Failed to stop at Clear Home;2654
MP1255;Press 1 - DMC Wedge Failed to stop at Search DAC;2655
MP1256;Press 1 - DMC Wedge Failed to Move Datum ;2656
MP1257;Press 1 - DMC Wedge Failed to Initialize;2657
MP1258;Press 1 - DMC Failed to setup Datalog;2658
MP1259;Press 1 - DMC Failed to enable Datalog;2659
MP1260;Press 1 - DMC Failed to get Datalog data;2660
MP1261;Press 1 - DMC Failed to disable Datalog;2661
MP1262;Press 1 - DMC Failed to close Datalog;2662
MP1263;Press 1 - DMC failed to search in;2663
MP1264;Press 1 - DMC failed to search out;2664
MP1265;Press 1 - MidClamp wait time longer than filling time;2665
MP1266;Press 1 - Detected cull remain;2666
MP1267;Press 1 - Detected abnormal delay before highclamp;2667
MP1268;Press 1 - Please Remove LF on Press 1!;2668
MP1269;Press 1 - Failed to search Platen Force!;2669
MP1270;Press 1 - Failed to move contour motion!;2670
MP1271;Press 1 - Failed to move to Cleaning Position!;2671
MP1272;Press 1 - DMC Wedge Motion exceed limits!;2672
MP1273;Press 1 - Full Mold Cleaning PreAlert!;2673
MP1274;Press 1 - Partial Mold Cleaning PreAlert!;2674
MP1275;Press 1 - Fast Mold Cleaning PreAlert!;2675
MP1276;External UPS Triggered! Press 1 Goes Offline!;2676
MP1279;3GEye detected Press1 Clamp Force has abnormal downtrend signal;2679
MP1280;3GEye detected Press1 Filling Time has abnormal downtrend signal;2680
MP1281;3GEye detected Press1 Packing Pressure has abnormal downtrend signal;2681
MP1282;3GEye detected Press1 Top Ejector has abnormal downtrend signal;2682
MP1283;3GEye detected Press1 Top Temperature has abnormal downtrend signal;2683
MP1284;3GEye detected Press1 Bottom Temperature has abnormal downtrend signal;2684
MP1286;Press1 detected small door not close;2686
MP1300;Press1 enable Motor Contactor Failed!;2700
MP1301;Press1 enable Motor Driver Failed!;2701
MP1302;Press1 detected Platen Low Battery;2702
MP1303;Press1 detected Transfer Low Battery;2703
MP1304;Platen Search Force Error!;2704
MP1305;Transfer Search Force Error!;2705
MP1310;External LoadCell Meter Connection Fail!;2710
MP1311;Front Top Fix Guard Triggered!;2711
MP1312;Front Bottom Fix Guard Triggered!;2712
MP1313;Side Left Fix Guard Triggered!;2713
MP1314;Side Right Fix Guard Triggered!;2714
MP1315;Rear Top Fix Guard Triggered!;2715
MP1316;RearBottom Fix Guard Triggered!;2716
MP1317;Detected Avoid Void Vacuum High Leakage Rate ;2717
MP1318;Press1 detected abnormal exhoust flow 1 ;2718
MP1319;Press1 detected abnormal exhoust flow 2;2719
MP1320;Press1 detected pressure out of scope;2720
MP1321;Press1 detected position out of scope;2721
MP1322;Press1 detected avoidvoid vacuum out of scope;2722
MP1323;Press1 detected avoidvoid vacuum 1 and 2 is different;2723
MP1326;Press1 detected Reject Tray not present;2726
MP1327;Press1 detected Reject Tray Full;2727
MP1328;Press1 detected R Pin Home failed;2728
MP1329;Press1 detected R Pin Up failed;2729
MP1330;Press1 detected R Pin Down failed;2730
MP1331;Press1 detected pre-warning pressure out of scope ;2731
MP1332;Press1 detected pre-warning position out of scope;2732
MP1333;Press1 detected pre-warning avoidvoid vacuum out of scope;2733
MP1334;Press1 detected avoidvoid vacuum 1 or vacuum 2 is abnormal;2734
MP1500;SHI Emergency Error;2900
MP1501;SHI Data Setting Err;2901
MP1502;SHI Serial Com Err;2902
MP1503;SHI Self Check Err;2903
MP1504;Invalid Platen Command;2904
MP1505;Invalid Transfer Command;2905
MP1506;SHI Controller Fan Stop;2906
MP1507;SHI Press Type Error;2907
MP1508;SHI Memory Error;2908
MP1509;SHI Common Servo Err;2909
MP1510;SHI Control Box Temperature Err;2910
MP1511;SHI Platen Up Limit Err;2911
MP1512;SHI Platen Low Limit Err;2912
MP1513;SHI Platen PG Err;2913
MP1514;SHI Platen Beyond 5 Ton Range;2914
MP1515;SHI Soft Clamp Err;2915
MP1516;SHI Platen Servo Err;2916
MP1517;SHI Platen Interlock Err;2917
MP1518;SHI Platen Thermal Trip;2918
MP1519;SHI Platen Soft Clamp Sensor Err;2919
MP1520;SHI Transfer Up Limit Err;2920
MP1521;SHI Transfer Low Limit Err;2921
MP1523;SHI Transfer PG Err;2923
MP1524;SHI Transfer Load Cell Err;2924
MP1525;SHI Transfer Force Limit Err;2925
MP1526;SHI Transfer Servo Err;2926
MP1527;SHI Transfer Curing Force Err;2927
MP1528;SHI Transfer Filling Err;2928
MP1529;SHI Transfer VP Switch Err;2929
MP1530;SHI Transfer Pressure Out Of Range;2930
MP1531;SHI Transfer Thermal Trip;2931
MP1600;SHI IO Check Err;3000
MP1601;SHI Soft Limit Err;3001
MP1602;SHI Platen IO Err;3002
MP1603;SHI Transfer IO Err;3003
MP1604;SHI Read Strobe Err;3004
MP1605;SHI Platen Motion Timeout;3005
MP1606;SHI Transfer Motion Timeout;3006
MP1607;SHI Lock Timeout;3007
MP1608;SHI All Data Match;3008
MP1609;SHI Comm Err;3009
MP1610;SHI Error;3010
MP1611;SHI IO Check Pass;3011
MP1612;SHI Motor not OFF;3012
MP1613;SHI Motor not ON;3013
MP1614;SHI not Acknowledge;3014
MP1615;SHI Platen Command not Read;3015
MP1616;SHI Transfer Command not Read;3016
MP2001;Press 2 Left Wedge move to HOME position failed;3401
MP2002;Press 2 Left Wedge move to STANDBY position failed;3402
MP2003;Press 2 Left Wedge move to START position failed;3403
MP2004;Press 2 Left Wedge move to FILLING position failed;3404
MP2005;Press 2 Left Wedge move to PACKING position failed;3405
MP2006;Press 2 Left Wedge move to DECOMPRESS position failed;3406
MP2007;Press 2 Right Wedge move to HOME position failed;3407
MP2008;Press 2 Right Wedge move to STANDBY position failed;3408
MP2009;Press 2 Right Wedge move to START position failed;3409
MP2010;Press 2 Right Wedge move to FILLING position failed;3410
MP2011;Press 2 Right Wedge move to PACKING position failed;3411
MP2012;Press 2 Right Wedge move to DECOMPRESS position failed;3412
MP2013;Press 2 Top Wedge move to HOME position failed;3413
MP2014;Press 2 Top Wedge move to STANDBY position failed;3414
MP2015;Press 2 Top Wedge move to START position failed;3415
MP2016;Press 2 Top Wedge move to FILLING position failed;3416
MP2017;Press 2 Top Wedge move to PACKING position failed;3417
MP2018;Press 2 Top Wedge move to DECOMPRESS position failed;3418
MP2019;Press 2 Reset Safety move to OFF position failed;3419
MP2020;Press 2 Reset Safety move to ON position failed;3420
MP2021;Press 2 Offline Door move to OPEN position failed;3421
MP2022;Press 2 Offline Door move to CLOSE position failed;3422
MP2023;Press 2 Substrate Vacuum move to OFF position failed;3423
MP2024;Press 2 Substrate Vacuum move to ON position failed;3424
MP2025;Press 2 Substrate Air move to OFF position failed;3425
MP2026;Press 2 Substrate Air move to ON position failed;3426
MP2027;Press 2 Mold Avoid Void move to OFF position failed;3427
MP2028;Press 2 Mold Avoid Void move to ON position failed;3428
MP2029;Press 2 Mold Avoid Void Air move to OFF position failed;3429
MP2030;Press 2 Mold Avoid Void Air move to ON position failed;3430
MP2031;Press 2 Mold Chase Alignment Done!;3431
MP2032;Press 2 Platen Enc Calibration Done!;3432
MP2033;Press 2 Platen Enc Calibration Fail!;3433
MP2034;Press 2 Transfer Enc Calibration Done!;3434
MP2035;Press 2 Transfer Enc Calibration Fail!;3435
MP2036;Press 2 Film Outer Vacuum move to ON position failed;3436
MP2037;Press 2 Top Cylinder move to UP position failed;3437
MP2038;Press 2 Top Cylinder move to DOWN position failed;3438
MP2039;Press 2 Top Gripper move to CLOSE position failed;3439
MP2040;Press 2 Top Gripper move to OPEN position failed;3440
MP2041;Press 2 Cylinder Wedge move to OUT position failed;3441
MP2042;Press 2 Cylinder Wedge move to IN position failed;3442
MP2043;Press 2 Chase Pump 1 move to OFF position failed;3443
MP2044;Press 2 Chase Pump 1 move to ON position failed;3444
MP2045;Press 2 Chase Pump 2 move to OFF position failed;3445
MP2046;Press 2 Chase Pump 2 move to ON position failed;3446
MP2047;Press 2 Detected Incomplete Fill Signal from degate. Going offline!;3447
MP2048;Press 2 Detected Avoid Void Air Purge is On!;3448
MP2049;Press 2 Detected Substrate Air Purge is On!;3449
MP2050;Press 2 Detected Platen not at Safe Pos to On Air Blow!;3450
MP2051;Press 2 Hepa Filter move to OFF position failed;3451
MP2052;Press 2 Hepa Filter move to ON position failed;3452
MP2053;Press 2 Press Start Cure move to OFF position failed;3453
MP2054;Press 2 Press Start Cure move to ON position failed;3454
MP2055;Press 2 Left Wedge COMMUTATE failed;3455
MP2056;Press 2 Right Wedge COMMUTATE failed;3456
MP2057;Press 2 Top Wedge COMMUTATE failed;3457
MP2058;Press 2 Offline Door NOT SAFE to move to CLOSE position;3458
MP2059;Press 2 Press Platen NOT SAFE to move to CLOSE position;3459
MP2060;Press 2 Safety Screen RESET failed;3460
MP2061;Press 2 Servo Power POWER ON failed;3461
MP2062;Press 2 Servo Power POWER OFF failed;3462
MP2063;Press 2 Transfer has NOT INITIALIZE;3463
MP2064;Press 2 Platen has NOT INITIALIZE;3464
MP2065;Press 2 Platen ABORT motion failed;3465
MP2066;Press 2 Platen CALIBRATED ENCODER failed;3466
MP2067;Press 2 Platen move UP to PPD position failed;3467
MP2068;Press 2 Platen move UP to CFS position failed;3468
MP2069;Press 2 Platen move to STANDBY position failed;3469
MP2070;Press 2 Platen move UP to FAST HIGH CLAMP position failed;3470
MP2071;Press 2 Platen move DOWN to EJECT position failed;3471
MP2072;Press 2 Platen move UP to STANDY position failed;3472
MP2073;Press 2 Platen STOP motion failed;3473
MP2074;Press 2 Platen move to JOG UP position failed;3474
MP2075;Press 2 Platen move to JOG DOWN position failed;3475
MP2076;Press 2 Platen move to RELATIVE UP position failed;3476
MP2077;Press 2 Platen move to RELATIVE DOWN position failed;3477
MP2078;Press 2 Platen move UP to SHEET CLAMP position failed;3478
MP2079;Press 2 Platen Soft Clamp Error;3479
MP2080;Press 2 Platen move UP to HIGH CLAMP ONLY position failed;3480
MP2081;Press 2 Platen move UP to FULL CLAMP position failed;3481
MP2082;Press 2 Platen move DOWN to GAP position failed;3482
MP2083;Press 2 Platen move UP to PAPER HIGH CLAMP position failed;3483
MP2084;Press 2 Platen move UP to CFS KISS position failed;3484
MP2085;Press 2 Platen move UP to CFS HIGH CLAMP position failed;3485
MP2086;Press 2 Platen move DOWN to EJECT LF PP4 position failed;3486
MP2087;Press 2 Platen move DOWN to EJECT LF PP5 position failed;3487
MP2088;Press 2 Platen move DOWN to SMOOTH PP8 position failed;3488
MP2089;Press 2 Platen move DOWN to FAST PP8 position failed;3489
MP2090;Press 2 Platen move UP to PP9 position failed;3490
MP2091;Press 2 Platen move UP to PP10 W/O INTERLOCK position failed;3491
MP2092;Press 2 Platen move UP to KISS position failed;3492
MP2093;Press 2 Platen move DOWN to FAST EJECT position failed;3493
MP2094;Press 2 Platen NOT at KISS position;3494
MP2095;Press 2 Platen NOT at EJECT position;3495
MP2096;Press 2 Platen NOT at STANDBY position;3496
MP2097;Press 2 Platen IS CLOSED;3497
MP2098;Press 2 Platen has NOT DONE CFS;3498
MP2099;Press 2 Platen move UP to Gap position failed;3499
MP2100;Press 2 Transfer ABORT motion failed;3500
MP2101;Press 2 Transfer CALIBRATED ENCODER failed;3501
MP2102;Press 2 Transfer move to STANDBY position failed;3502
MP2103;Press 2 Transfer move UP to FILL CURE position failed;3503
MP2104;Press 2 Transfer move DOWN to PD position failed;3504
MP2105;Press 2 Transfer move UP to EJECT position failed;3505
MP2106;Press 2 Transfer move to PC1 position failed;3506
MP2107;Press 2 Transfer move to PC2 position failed;3507
MP2108;Press 2 Transfer move DOWN to STANDBY position failed;3508
MP2109;Press 2 Transfer STOP motion failed;3509
MP2110;Press 2 Transfer move to JOG UP position failed;3510
MP2111;Press 2 Transfer move to JOG DOWN position failed;3511
MP2112;Press 2 Transfer move UP to SHORT SHOT position failed;3512
MP2113;Press 2 Transfer move UP to FILL CURE CLEANING position failed;3513
MP2114;Press 2 Transfer move to RELATIVE UP position failed;3514
MP2115;Press 2 Transfer move to RELATIVE DOWN position failed;3515
MP2116;Press 2 Transfer move to PLUNGER BLK CHANGE PM1 position failed;3516
MP2117;Press 2 Transfer move to MOLD FLUSH PM2 position failed;3517
MP2118;Press 2 Transfer move to PLUNGER CHANGE PM3 position failed;3518
MP2119;Press 2 Transfer move to STANDBY CLEANING position failed;3519
MP2120;Press 2 Transfer NOT at STANDBY position;3520
MP2121;Press 2 Servo Power Not On;3521
MP2122;Press 2 Error;3522
MP2123;Press 2 Detected NL Y Not Home;3523
MP2124;Press 2 Detected FL Y Not Home;3524
MP2125;Press 2 Detected PGS Grippers Abnormal;3525
MP2126;Press 2 Detected Top Ejector Not Up;3526
MP2127;Press 2 Detected Middle Plate Not Up;3527
MP2128;Press 2 Detected Temperature Not Ready;3528
MP2129;Press 2 Detected PGS Grippers Jammed;3529
MP2130;Press 2 Detected Misalign Sensor On;3530
MP2131;Press 2 Film Out Air Jet Off Fail;3531
MP2132;Press 2 Film Out Air Jet On Fail;3532
MP2133;Press 2 Ionizer Off Fail;3533
MP2134;Press 2 Ionizer On Fail;3534
MP2135;Press 2 Top Wedged Fail To Move To Film Suction Position;3535
MP2140;Press 2 Wedge In Error;3540
MP2141;Press 2 Wedge Move To FL Pick Mat Error;3541
MP2142;Press 2 Wedge 2 In Error;3542
MP2143;Press 2 Wedge 2 Move To FL Pick Mat Error;3543
MP2144;Press 2 Wedge Move Error - Detect MidPlate Down;3544
MP2145;Press 2 Wedge 2 Move Error - Detect MidPlate Down;3545
MP2150;Press 2 Clamp Force Setting is required;3550
MP2151;Press 2 detected Temperature Out of Tolerance;3551
MP2152;Press 2 detected Temperature Controller failed;3552
MP2153;Press 2 Detected Safety Screen Triggered;3553
MP2154;Press 2 Top Wedge Force Not Enough;3554
MP2155;Press 2 ThermoSwitch Triggered!;3555
MP2156;Press 2 Bottom Mold Temperature Over Heat;3556
MP2157;Press 2 Top Wedge Relative move Fail;3557
MP2158;Press 2 Mid plate position Unknown;3558
MP2159;Press 2 Mid plate NOT at Down position;3559
MP2160;Press 2 PL Not at safe position to Open/Close;3560
MP2161;Press 2 PL Wrong Mold Open Sequence;3561
MP2162;Press 2 Move To PP12 Position Fail;3562
MP2163;Press 2 Move To Mid-Clamp Position Fail;3563
MP2164;Press 2 Detected  Unknown LF Status;3564
MP2165;Press 2 Detected LF UnMolded;3565
MP2166;Press 2 HMI Message Reply Unknown;3566
MP2167;Press 2 wait Pellet Cure;3567
MP2168;Press 2 Filling Error;3568
MP2169;Press 2 Curing Error;3569
MP2170;Press 2 Goes Offline after Mold Fail;3570
MP2171;Press 2 Detected Filling out of Range;3571
MP2172;Press 2 Detected Filling Pressure out of Range;3572
MP2173;Press 2 Detected OnLine Init Fail;3573
MP2174;Press 2 Detected OnLine Pre-Start Fail;3574
MP2175;Press 2 Detected Press Door Close Fail;3575
MP2176;Detected PGS Gripper not Open;3576
MP2177;Ejector Not Safe to Move Down! Mid Plate not at Down;3577
MP2178;Detected Gripper Air Pressure Low;3578
MP2179;Press 2 is required to do Full Clean (Auto);3579
MP2180;Press 2 is required to do  Fast Clean (Auto);3580
MP2181;Press 2 is required to do  Partial Clean (Auto);3581
MP2182;Press 2 is required to do Full Clean (Idle);3582
MP2183;Press 2 is required to do Fast Clean (Idle);3583
MP2184;Press 2 is required to do  Partial Clean (Idle);3584
MP2185;Detected Loader Present at Mold;3585
MP2186;Press 2 Mold Ext Count off fail;3586
MP2187;Press 2 Mold Ext Count on fail;3587
MP2188;Press 2 Update LF Processed Failed;3588
MP2189;Press 2 Detected LF Stick on Top Mold;3589
MP2191;Please Verify Units Status on Press 2;3591
MP2192;Press 2 Compound Expiry (To Mold Clamp);3592
MP2193;Press 2 Top Surface Thermocouple Out Of Tolerance;3593
MP2194;Press 2 Mid Plate Surface Thermocouple Out Of Tolerance;3594
MP2195;Press 2 Btm Surface Thermocouple Out Of Tolerance;3595
MP2196;Press 2 Voltage Dip;3596
MP2197;Press 2 Btm Retract Pin Error;3597
MP2198;Press 2 Top Retract Pin Error;3598
MP2199;Press 2 Heaters not Turn on!;3599
MP2200;Press 2 Bottom FAM Roller Not at DOWN Position;3600
MP2201;Press 2 Substrate Vacuum Choke!;3601
MP2202;Press 2 Avoid Void Vacuum Choke!;3602
MP2203;Press 2 Ebara Pump Off fail!;3603
MP2204;Press 2 Ebara Pump On fail!;3604
MP2205;Press 2 Reset Ebara Pump Off fail!;3605
MP2206;Press 2 Reset Ebara Pump On fail!;3606
MP2207;Press 2 Ebara Pump Error!;3607
MP2208;Press 2 Avoid Void Vacuum Upper Limit!;3608
MP2209;Press 2 Substrate Vacuum Buffer Off failed;3609
MP2210;Press 2 Substrate Vacuum Buffer On failed;3610
MP2211;Press 2 Inner Substrate Vacuum Off failed;3611
MP2212;Press 2 Inner Substrate Vacuum On failed;3612
MP2213;Press 2 Ebara Valve Turn Off Fail!;3613
MP2214;Press 2 Ebara Valve Turn On Fail!;3614
MP2215;Press 2 Receive Offline command from Linescanner/Vision;3615
MP2216;Press 2 Wedge Search Force Fail!;3616
MP2217;Press 2 Wedge 1 Search Force Fail!;3617
MP2218;Press 2 Wedge 2 Search Force Fail!;3618
MP2219;Press 2 Load Cell 1 Off Fail;3619
MP2220;Press 2 Load Cell 1 On Fail;3620
MP2221;Press 2 Load Cell 2 Off Fail;3621
MP2222;Press 2 Load Cell 2 On Fail;3622
MP2223;Press 2 Top Mold Temperature SPC out of Control Limit!;3623
MP2224;Press 2 Top Mold Temperature SPC out of Spec Limit!;3624
MP2225;Press 2 Bottom Mold Temperature SPC out of Control Limit!;3625
MP2226;Press 2 Bottom Mold Temperature SPC out of Spec Limit!;3626
MP2227;Press 2 Clamp Force SPC out of Control Limit!;3627
MP2228;Press 2 Clamp Force SPC out of Spec Limit!;3628
MP2229;Press 2 Packing Pressure SPC out of Control Limit!;3629
